State,Census_Year,Census_Source,Census_Dataset,Census_Table,Population_Universe,Geography_Type,Geography_ID,Geography_Name,Population_18Plus,Hispanic_Latino_18Plus,Not_Hispanic_18Plus,Not_Hispanic_White_18Plus,Not_Hispanic_Black_18Plus,Not_Hispanic_AIAN_18Plus,Not_Hispanic_Asian_18Plus,Not_Hispanic_NHPI_18Plus,Not_Hispanic_Other_Race_18Plus,Not_Hispanic_TwoPlus_Races_18Plus
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48257,Kaufman County,103646,22171,81475,60951,14594,501,1593,57,266,3513
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48259,Kendall County,34179,6743,27436,25680,224,107,278,27,151,969
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48261,Kenedy County,267,202,65,60,0,0,0,0,2,3
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48263,Kent County,608,63,545,532,2,3,0,0,3,5
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48265,Kerr County,43270,9564,33706,31154,576,132,442,39,145,1218
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48267,Kimble County,3557,704,2853,2713,8,14,33,3,8,74
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48269,King County,189,20,169,165,0,0,0,4,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48271,Kinney County,2574,1097,1477,1332,35,21,10,2,11,66
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48273,Kleberg County,23791,16147,7644,5678,844,70,680,1,72,299
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48275,Knox County,2526,709,1817,1594,116,8,8,0,5,86
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48283,La Salle County,5268,3667,1601,1332,217,3,4,0,5,40
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48277,Lamar County,38400,2679,35721,28388,4730,533,367,17,78,1608
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48279,Lamb County,9511,4999,4512,4064,291,13,3,5,14,122
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48281,Lampasas County,16856,2739,14117,12417,570,94,202,64,69,701
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48285,Lavaca County,15681,2523,13158,11876,859,21,54,5,23,320
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48287,Lee County,13173,2800,10373,8632,1254,40,45,1,25,376
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48289,Leon County,12406,1556,10850,9573,767,47,75,6,27,355
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48291,Liberty County,67304,19447,47857,39583,5660,242,366,12,199,1795
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48293,Limestone County,17094,3166,13928,10439,2831,57,134,5,50,412
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48295,Lipscomb County,2304,737,1567,1461,4,13,2,0,4,83
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48297,Live Oak County,9296,3758,5538,5035,195,38,33,3,35,199
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48299,Llano County,18113,1679,16434,15459,73,95,102,4,52,649
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48301,Loving County,40,0,40,36,0,1,0,0,0,3
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48303,Lubbock County,237542,74950,162592,126770,19682,1197,8024,137,702,6080
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48305,Lynn County,4008,1610,2398,2201,80,14,10,3,12,78
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48313,Madison County,10701,2541,8160,5706,2131,34,79,0,8,202
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48315,Marion County,8016,249,7767,5864,1495,55,35,0,31,287
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48317,Martin County,3696,1497,2199,2067,53,13,8,0,11,47
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48319,Mason County,3202,632,2570,2482,4,0,1,0,8,75
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48321,Matagorda County,27147,10368,16779,12736,2755,84,589,2,76,537
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48323,Maverick County,40929,38788,2141,1235,113,514,150,4,54,71
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48307,McCulloch County,5985,1643,4342,4078,73,5,31,0,6,149
